date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:28	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-627c083b-175224586e0208b;gz%22	https://txon.in/robots.txt		(from )
17:57:28	26521/26521	---M-Z	200	added ('OK')	text/html	etag:%226799-6506bb6e-4afd14bbe4e0aaa6;gz%22	https://txon.in/	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/index.html	(from )
17:57:29	53871/53871	---M--	200	added ('OK')	image/png	etag:%22d26f-640c8dd9-e9fa8118527f9150;;;%22	https://txon.in/assets/img/TXON-LOG.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/TXON-LOG.png	(from https://txon.in/)
17:57:29	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-640c8dcf-578d29aff4f13f49;gz%22	https://txon.in/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/aos/aos.css	(from https://txon.in/)
17:57:29	175996/175996	---M--	200	added ('OK')	text/javascript	etag:16579856504568651824	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-3672675065270783	C:/My%20Web%20Sites/TXON%20CLONE/pagead2.googlesyndication.com/pagead/js/f6793.txt	(from https://txon.in/)
17:57:29	194689/194689	---M-Z	200	added ('OK')	text/css	etag:%222f881-640c8dcd-f1fb51e3a455c344;gz%22	https://txon.in/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://txon.in/)
17:57:29	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-640c8dc2-5c20689449604724;gz%22	https://txon.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://txon.in/)
17:57:30	68028/68028	---M-Z	200	added ('OK')	text/css	etag:%22109bc-640c8dc2-b0091f7cb1892305;gz%22	https://txon.in/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/css/boxicons.min.css	(from https://txon.in/)
17:57:30	13749/13749	---M-Z	200	added ('OK')	text/css	etag:%2235b5-640c8dbe-30c288e14759dbe8;gz%22	https://txon.in/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/glightbox/css/glightbox.min.css	(from https://txon.in/)
17:57:30	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-640c8db9-371a4624116e4676;gz%22	https://txon.in/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicon.css	(from https://txon.in/)
17:57:30	16468/16468	---M-Z	200	added ('OK')	text/css	etag:%224054-640c8db8-b1d513ede2d4ed74;gz%22	https://txon.in/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/swiper/swiper-bundle.min.css	(from https://txon.in/)
17:57:31	25778/25778	---M-Z	200	added ('OK')	text/css	etag:%2264b2-6506ba53-be0cff1227af30b7;gz%22	https://txon.in/assets/css/style.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/css/style.css	(from https://txon.in/)
17:57:31	26521/26521	---M-Z	200	added ('OK')	text/html	etag:%226799-6506bb6e-4afd14bbe4e0aaa6;gz%22	https://txon.in/index.html	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/index-2.html	(from https://txon.in/)
17:57:31	4020/4020	---M--	200	added ('OK')	image/png	etag:%22fb4-640c8dd3-e638cbba8b21ebc9;;;%22	https://txon.in/assets/img/Group%208.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/Group%208.png	(from https://txon.in/)
17:57:31	17541/17541	---M-Z	200	added ('OK')	text/html	etag:%224485-650463e1-f14d6565a742f3cf;gz%22	https://txon.in/intern.html	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/intern.html	(from https://txon.in/)
17:57:32	15233/15233	---M-Z	200	added ('OK')	text/html	etag:%223b81-640dbc91-1e1f383012ab62de;gz%22	https://txon.in/introduction_of_html.html	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/introduction_of_html.html	(from https://txon.in/)
17:57:32	458/458	---M--	200	added ('OK')	image/png	etag:%221ca-640c8dd3-34478daa710c4152;;;%22	https://txon.in/assets/img/html-icon.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/html-icon.png	(from https://txon.in/)
17:57:32	237289/237289	---M--	200	added ('OK')	image/png	etag:%2239ee9-640c8dd3-f096e70b05c7063b;;;%22	https://txon.in/assets/img/Group%201%20(5).png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/Group%201%20(5).png	(from https://txon.in/)
17:57:32	245024/245024	---M--	200	added ('OK')	image/png	etag:%223bd20-640c8dd9-db81169ffeba083b;;;%22	https://txon.in/assets/img/skills.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/skills.png	(from https://txon.in/)
17:57:32	89828/89828	---M--	200	added ('OK')	image/png	etag:%2215ee4-640c8dda-9d7172eb8065a161;;;%22	https://txon.in/assets/img/ui1.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/ui1.png	(from https://txon.in/)
17:57:33	51123/51123	---M--	200	added ('OK')	image/png	etag:%22c7b3-640c8dd0-700c65745cc56e17;;;%22	https://txon.in/assets/img/android%20(2).png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/android%20(2).png	(from https://txon.in/)
17:57:33	68245/68245	---M--	200	added ('OK')	image/png	etag:%2210a95-640c8dd3-c7d82a4ff71e6a6d;;;%22	https://txon.in/assets/img/hero-img.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/hero-img.png	(from https://txon.in/)
17:57:33	61050/61050	---M--	200	added ('OK')	image/png	etag:%22ee7a-640c8dda-858e5e81a692e780;;;%22	https://txon.in/assets/img/videoed.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/videoed.png	(from https://txon.in/)
17:57:34	14690/14690	---M-Z	200	added ('OK')	application/x-javascript	etag:%223962-640c8dd0-eef687a82d09dd09;gz%22	https://txon.in/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/aos/aos.js	(from https://txon.in/)
17:57:34	80260/80260	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213984-640c8dc4-76023aa8b24f5ae5;gz%22	https://txon.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://txon.in/)
17:57:34	55880/55880	---M-Z	200	added ('OK')	application/x-javascript	etag:%22da48-640c8dbd-a07d0764532094aa;gz%22	https://txon.in/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/glightbox/js/glightbox.min.js	(from https://txon.in/)
17:57:34	35445/35445	---M-Z	200	added ('OK')	application/x-javascript	etag:%228a75-640c8dbd-fdfed000d3c57bfd;gz%22	https://txon.in/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://txon.in/)
17:57:34	143629/143629	---M-Z	200	added ('OK')	application/x-javascript	etag:%222310d-640c8db8-bf8a435ea4bd7aa5;gz%22	https://txon.in/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/swiper/swiper-bundle.min.js	(from https://txon.in/)
17:57:35	21112/21112	---M-Z	200	added ('OK')	application/x-javascript	etag:%225278-640c8db8-e4c7ddb2a1363c15;gz%22	https://txon.in/assets/vendor/waypoints/noframework.waypoints.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/waypoints/noframework.waypoints.js	(from https://txon.in/)
17:57:35	2590/2590	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a1e-640c8dbd-ec9e19875cd8a2ed;gz%22	https://txon.in/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/php-email-form/validate.js	(from https://txon.in/)
17:57:35	6183/6183	---M-Z	200	added ('OK')	application/x-javascript	etag:%221827-640c8dd0-f9e94177bb09497f;gz%22	https://txon.in/assets/js/main.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/js/main.js	(from https://txon.in/)
17:57:35	261/261	---M--	200	added ('OK')	application/x-javascript	etag:%22105-6506ba68-eae2c8b3985efbe;;;%22	https://txon.in/app.js	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/app.js	(from https://txon.in/)
17:57:36	112440/112440	---M--	200	added ('OK')	font/woff2	etag:%221b738-640c8dc5-86051799f74cb9c5;;;%22	https://txon.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsd862.woff2	(from https://txon.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
17:57:36	150592/150592	---M--	200	added ('OK')	application/font-woff	etag:%2224c40-640c8dc3-24486af27cc943f9;;;%22	https://txon.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsd862.woff	(from https://txon.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
17:57:37	405670/405670	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22630a6-640c8dc0-aecdce71f3abf602;gz%22	https://txon.in/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/fonts/boxicons.eot	(from https://txon.in/assets/vendor/boxicons/css/boxicons.min.css)
17:57:37	115680/115680	---M--	200	added ('OK')	font/woff2	etag:%221c3e0-640c8dc1-66504c7356ae867e;;;%22	https://txon.in/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://txon.in/assets/vendor/boxicons/css/boxicons.min.css)
17:57:37	321020/321020	---M--	200	added ('OK')	application/font-woff	etag:%224e5fc-640c8dc1-7f803dda715925ed;;;%22	https://txon.in/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/fonts/boxicons.woff	(from https://txon.in/assets/vendor/boxicons/css/boxicons.min.css)
17:57:37	320944/320944	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%224e5b0-640c8dc1-b98679ff275bb3f4;gz%22	https://txon.in/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://txon.in/assets/vendor/boxicons/css/boxicons.min.css)
17:57:38	1242122/1242122	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212f40a-640c8dc8-501eb4272c549d59;gz%22	https://txon.in/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://txon.in/assets/vendor/boxicons/css/boxicons.min.css)
17:57:38	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226271c-640c8dbb-447aa1665369737b;gz%22	https://txon.in/assets/vendor/remixicon/remixicon.eot?t=1590207869815	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicondf6d.eot	(from https://txon.in/assets/vendor/remixicon/remixicon.css)
